total_tokens,esg_signal_count,g_signal_count,bp_count,esg_signal_ratio,g_signal_ratio,bp_contamination_rate,esg_g_relative,stock_code,fiscal_year,rcept_no,n_tokens,esg_tfidf_concentration
4575,46,60,0,0.0101,0.0131,0.0,1.0,000390,2023,20240320000357.0,4575,0.0085
4834,48,59,0,0.0099,0.0122,0.0,1.0,000390,2024,20250312000816.0,4832,0.0108
1501,0,74,0,0.0,0.0493,0.0,1.0,000400,2022,20230323001495.0,1501,0.0497
1486,0,80,0,0.0,0.0538,0.0,1.0,000400,2023,20240321001822.0,1486,0.0593
1529,0,84,0,0.0,0.0549,0.0,1.0,000400,2024,20250320001732.0,1529,0.0553
2304,7,84,0,0.003,0.0365,0.0,1.0,000430,2022,20230316000976.0,2304,0.049
2362,5,71,0,0.0021,0.0301,0.0,1.0,000430,2023,20240315000516.0,2362,0.04
2487,5,164,0,0.002,0.0659,0.0,1.0,000430,2024,20250318001210.0,2487,0.0972
2366,4,77,0,0.0017,0.0325,0.0,1.0,000480,2022,20230315001326.0,2366,0.0364
2821,3,143,0,0.0011,0.0507,0.0,1.0,000480,2023,20240313001576.0,2821,0.0703
2815,4,134,0,0.0014,0.0476,0.0,1.0,000480,2024,20250311001197.0,2815,0.0652
2061,19,78,0,0.0092,0.0378,0.0,1.0,000490,2022,20230322000832.0,2061,0.0533
2374,12,87,0,0.0051,0.0366,0.0,1.0,000490,2023,20240320001807.0,2374,0.0527
2612,21,107,0,0.008,0.041,0.0,1.0,000490,2024,20250318001356.0,2612,0.0593
1921,1,63,0,0.0005,0.0328,0.0,1.0,000500,2022,20230315001078.0,1921,0.0436
1818,3,64,0,0.0017,0.0352,0.0,1.0,000500,2023,20240318000764.0,1818,0.0475
1861,4,62,0,0.0021,0.0333,0.0,1.0,000500,2024,20250317000782.0,1861,0.0448
2303,1,64,0,0.0004,0.0278,0.0,1.0,000520,2022,20230316001021.0,2303,0.0245
2105,1,64,0,0.0005,0.0304,0.0,1.0,000520,2023,20240314001673.0,2105,0.0259
2115,1,65,0,0.0005,0.0307,0.0,1.0,000520,2024,20250313001455.0,2115,0.0327
2153,3,114,0,0.0014,0.0529,0.0,1.0,000540,2022,20230316001454.0,2153,0.0584
1906,3,116,0,0.0016,0.0609,0.0,1.0,000540,2023,20240321001884.0,1906,0.0659
1996,3,123,0,0.0015,0.0616,0.0,1.0,000540,2024,20250320001444.0,1996,0.0675
1870,1,54,0,0.0005,0.0289,0.0,1.0,000590,2022,20230323001033.0,1870,0.0314
1868,1,54,0,0.0005,0.0289,0.0,1.0,000590,2023,20240321001387.0,1868,0.0314
1820,1,54,0,0.0005,0.0297,0.0,1.0,000590,2024,20250321001425.0,1820,0.0318
3818,9,103,0,0.0024,0.027,0.0,1.0,000640,2022,20230321001017.0,3818,0.0265
4019,13,88,0,0.0032,0.0219,0.0,1.0,000640,2023,20240320001846.0,4019,0.015
3962,8,93,0,0.002,0.0235,0.0,1.0,000640,2024,20250321001899.0,3962,0.0205
539,1,34,0,0.0019,0.0631,0.0,1.0,000650,2022,20230316001173.0,539,0.0902
559,1,34,0,0.0018,0.0608,0.0,1.0,000650,2023,20240321001343.0,559,0.0844
530,1,32,0,0.0019,0.0604,0.0,1.0,000650,2024,20250320001184.0,530,0.0844
5310,76,193,0,0.0143,0.0363,0.0,1.0,000660,2022,20230321001209.0,5310,0.0423
5471,75,173,0,0.0137,0.0316,0.0,1.0,000660,2023,20240319000684.0,5470,0.0328
5080,86,179,0,0.0169,0.0352,0.0,1.0,000660,2024,20250319000665.0,5080,0.0499
6620,22,88,0,0.0033,0.0133,0.0,1.0,000670,2022,20230314000637.0,6618,0.003
6526,24,63,0,0.0037,0.0097,0.0,1.0,000670,2023,20240312000923.0,6524,0.0
6209,13,70,0,0.0021,0.0113,0.0,1.0,000670,2024,20250319001075.0,6207,0.0
2721,3,123,0,0.0011,0.0452,0.0,1.0,000680,2022,20230316000757.0,2721,0.0742
4425,4,130,0,0.0009,0.0294,0.0,1.0,000680,2023,20240320001453.0,4423,0.0281
6357,6,134,0,0.0009,0.0211,0.0,1.0,000680,2024,20250319001010.0,6355,0.0066
4016,9,107,0,0.0022,0.0266,0.0,1.0,000700,2022,20230321001229.0,4016,0.0211
4042,11,99,0,0.0027,0.0245,0.0,1.0,000700,2023,20240320001569.0,4042,0.018
4201,16,90,0,0.0038,0.0214,0.0,1.0,000700,2024,20250321001882.0,4201,0.0085
5249,37,125,0,0.007,0.0238,0.0,1.0,000720,2022,20230315001104.0,5248,0.0191
5543,43,117,0,0.0078,0.0211,0.0,1.0,000720,2023,20240329003141.0,5543,0.0169
1786,17,0,0,0.0095,0.0,0.0,1.0,000720,2024,20250312001136.0,5316,0.0
1532,1,93,0,0.0007,0.0607,0.0,1.0,000760,2022,20230316000343.0,1532,0.0838
1598,1,103,0,0.0006,0.0645,0.0,1.0,000760,2023,20240321000690.0,1598,0.0895
1535,1,96,0,0.0007,0.0625,0.0,1.0,000760,2024,20250320000337.0,1535,0.0875
6757,2,136,0,0.0003,0.0201,0.0,1.0,000810,2022,20230309000772.0,6757,0.0059
7277,6,151,0,0.0008,0.0208,0.0,1.0,000810,2023,20240429000782.0,7277,0.0081
6935,6,145,0,0.0009,0.0209,0.0,1.0,000810,2024,20250311001055.0,6935,0.0063
3088,3,94,0,0.001,0.0304,0.0,1.0,000850,2022,20230315000315.0,3087,0.0425
3094,7,94,0,0.0023,0.0304,0.0,1.0,000850,2023,20240313000479.0,3092,0.0425
3141,5,96,0,0.0016,0.0306,0.0,1.0,000850,2024,20250312000803.0,3139,0.0452
4098,5,79,0,0.0012,0.0193,0.0,1.0,000860,2022,20230320000691.0,4098,0.0063
4307,33,78,0,0.0077,0.0181,0.0,1.0,000860,2023,20240320001810.0,4307,0.006
4272,26,88,0,0.0061,0.0206,0.0,1.0,000860,2024,20250318001036.0,4272,0.0076
26373,365,182,0,0.0138,0.0069,0.0,1.0,000880,2022,20230321001313.0,26372,0.0106
26569,343,167,0,0.0129,0.0063,0.0,1.0,000880,2023,20240430000953.0,26567,0.0093
28792,351,183,0,0.0122,0.0064,0.0,1.0,000880,2024,20250318001429.0,28792,0.0
2646,6,51,0,0.0023,0.0193,0.0,1.0,000890,2022,20230321001480.0,2645,0.0152
2988,6,54,0,0.002,0.0181,0.0,1.0,000890,2023,20240318000717.0,2987,0.0151
3138,7,54,0,0.0022,0.0172,0.0,1.0,000890,2024,20250318001002.0,3138,0.0137
3040,8,31,0,0.0026,0.0102,0.0,1.0,000910,2022,20230323001190.0,3039,0.0
3113,9,28,0,0.0029,0.009,0.0,1.0,000910,2023,20240321001439.0,3112,0.0
3280,9,29,0,0.0027,0.0088,0.0,1.0,000910,2024,20250320001552.0,3279,0.0
