total_tokens,esg_signal_count,g_signal_count,bp_count,esg_signal_ratio,g_signal_ratio,bp_contamination_rate,esg_g_relative,stock_code,fiscal_year,rcept_no,n_tokens,esg_tfidf_concentration
1939,10,69,0,0.0052,0.0356,0.0,1.0,005500,2023,20240314001307,1939,0.0514
1865,6,69,0,0.0032,0.037,0.0,1.0,005500,2024,20250313001200,1865,0.043
2737,22,78,0,0.008,0.0285,0.0,1.0,005610,2022,20230316001219,2737,0.0459
2874,20,112,0,0.007,0.039,0.0,1.0,005610,2023,20240321001513,2874,0.0657
2862,19,98,0,0.0066,0.0342,0.0,1.0,005610,2024,20250318001175,2862,0.052
2940,21,71,0,0.0071,0.0241,0.0,1.0,005850,2022,20230321001134,2940,0.0187
2653,20,53,0,0.0075,0.02,0.0,1.0,005850,2023,20240318000589,2653,0.0147
2854,20,55,0,0.007,0.0193,0.0,1.0,005850,2024,20250318000826,2854,0.0156
5581,30,121,0,0.0054,0.0217,0.0,1.0,005930,2022,20230307000542,5581,0.009
5897,32,132,0,0.0054,0.0224,0.0,1.0,005930,2023,20240312000736,5897,0.0243
5829,32,137,0,0.0055,0.0235,0.0,1.0,005930,2024,20250311001085,5829,0.026
4263,7,55,0,0.0016,0.0129,0.0,1.0,005950,2022,20230320000747,4254,0.0071
4034,10,56,0,0.0025,0.0139,0.0,1.0,005950,2023,20240321001863,4034,0.0102
3848,15,54,0,0.0039,0.014,0.0,1.0,005950,2024,20250320001454,3848,0.0129
4247,56,254,0,0.0132,0.0598,0.0,1.0,006400,2022,20230313000726,4247,0.0783
4399,54,282,0,0.0123,0.0641,0.0,1.0,006400,2023,20240312000853,4399,0.0845
5296,54,241,0,0.0102,0.0455,0.0,1.0,006400,2024,20250311001275,5296,0.0663
8201,9,181,0,0.0011,0.0221,0.0,1.0,007070,2022,20230315001215,8195,0.0124
7618,9,159,0,0.0012,0.0209,0.0,1.0,007070,2023,20240313001562,7616,0.016
6506,5,173,0,0.0008,0.0266,0.0,1.0,007070,2024,20250312000991,6506,0.0284
4219,10,77,0,0.0024,0.0183,0.0,1.0,010130,2022,20230309000731,4217,0.013
4820,61,86,0,0.0127,0.0178,0.0,1.0,010130,2023,20240328001400,4811,0.023
5600,64,114,0,0.0114,0.0204,0.0,1.0,010130,2024,20250320001542,5579,0.016
5364,30,152,0,0.0056,0.0283,0.0,1.0,010950,2022,20230320000502,5359,0.0387
5197,40,156,0,0.0077,0.03,0.0,1.0,010950,2023,20240320001242,5196,0.0417
5491,37,159,0,0.0067,0.029,0.0,1.0,010950,2024,20250319000503,5488,0.0388
5574,66,92,0,0.0118,0.0165,0.0,1.0,011170,2022,20230321001511,5573,0.0111
6281,71,93,0,0.0113,0.0148,0.0,1.0,011170,2023,20240401004380,6281,0.0071
6615,105,119,0,0.0159,0.018,0.0,1.0,011170,2024,20250317000991,6615,0.0419
4915,16,138,0,0.0033,0.0281,0.0,1.0,011210,2022,20230314000727,4913,0.0333
5173,7,129,0,0.0014,0.0249,0.0,1.0,011210,2023,20240320001675,5171,0.0275
5218,6,116,0,0.0011,0.0222,0.0,1.0,011210,2024,20250311001283,5217,0.0248
3328,25,76,0,0.0075,0.0228,0.0,1.0,014790,2022,20230315001407,3328,0.0355
3281,24,77,0,0.0073,0.0235,0.0,1.0,014790,2023,20240318000780,3281,0.0368
3192,21,96,0,0.0066,0.0301,0.0,1.0,014790,2024,20250317000836,3192,0.0466
4272,18,122,0,0.0042,0.0286,0.0,1.0,018260,2022,20230307000606,4272,0.0208
4173,18,134,0,0.0043,0.0321,0.0,1.0,018260,2023,20240329003204,4173,0.0269
4165,19,132,0,0.0046,0.0317,0.0,1.0,018260,2024,20250311001129,4165,0.0255
5516,16,116,0,0.0029,0.021,0.0,1.0,024110,2022,20230315001098,5516,0.0119
5630,17,128,0,0.003,0.0227,0.0,1.0,024110,2023,20240430000630,5630,0.0115
5107,18,123,0,0.0035,0.0241,0.0,1.0,024110,2024,20250318001325,5107,0.0164
15560,72,193,0,0.0046,0.0124,0.0,1.0,030200,2022,20230323001449,15551,0.0
15775,78,293,0,0.0049,0.0186,0.0,1.0,030200,2023,20240320002050,15762,0.0119
13735,58,163,0,0.0042,0.0119,0.0,1.0,030200,2024,20250321001834,13720,0.0
7465,33,150,0,0.0044,0.0201,0.0,1.0,035420,2022,20230314001049,7425,0.0088
7429,47,147,0,0.0063,0.0198,0.0,1.0,035420,2023,20240318000844,7392,0.0065
6759,14,132,0,0.0021,0.0195,0.0,1.0,035420,2024,20250318000645,6724,0.0068
6296,51,171,0,0.0081,0.0272,0.0,1.0,035720,2022,20230320001096,6296,0.0266
7559,73,209,0,0.0097,0.0276,0.0,1.0,035720,2023,20240418000375,7559,0.0287
7018,34,194,0,0.0048,0.0276,0.0,1.0,035720,2024,20250318001297,7018,0.0369
4967,4,97,0,0.0008,0.0195,0.0,1.0,035760,2022,20230320000724,4966,0.0058
5780,5,100,0,0.0009,0.0173,0.0,1.0,035760,2023,20240318000857,5779,0.005
6003,6,109,0,0.001,0.0182,0.0,1.0,035760,2024,20250319000884,6003,0.0055
2483,0,79,0,0.0,0.0318,0.0,1.0,036570,2022,20230321001334,2479,0.0293
2904,13,102,0,0.0045,0.0351,0.0,1.0,036570,2023,20240320001965,2902,0.0364
2868,14,102,0,0.0049,0.0356,0.0,1.0,036570,2024,20250318001264,2868,0.0345
4252,29,161,0,0.0068,0.0379,0.0,1.0,042670,2022,20230317000838,4252,0.0532
4128,36,185,0,0.0087,0.0448,0.0,1.0,042670,2023,20240315000865,4128,0.0686
4290,28,208,0,0.0065,0.0485,0.0,1.0,042670,2024,20250317000883,4290,0.0741
2384,9,98,0,0.0038,0.0411,0.0,1.0,051500,2022,20230317000800,2384,0.0521
2434,10,107,0,0.0041,0.044,0.0,1.0,051500,2023,20240320001012,2434,0.052
2345,10,107,0,0.0043,0.0456,0.0,1.0,051500,2024,20250320000745,2345,0.0538
5358,28,119,0,0.0052,0.0222,0.0,1.0,051910,2022,20230324001178,5357,0.0278
5674,30,119,0,0.0053,0.021,0.0,1.0,051910,2023,20240315000957,5673,0.0261
5823,29,116,0,0.005,0.0199,0.0,1.0,051910,2024,20250314000996,5822,0.0156
17951,32,225,0,0.0018,0.0125,0.0,1.0,055550,2022,20230315001015,17947,0.0
18006,36,198,0,0.002,0.011,0.0,1.0,055550,2023,20240502000081,18003,0.0
17658,44,191,0,0.0025,0.0108,0.0,1.0,055550,2024,20250318000993,17655,0.0
4773,10,137,0,0.0021,0.0287,0.0,1.0,057050,2022,20230315001376,4769,0.0215
8480,17,174,0,0.002,0.0205,0.0,1.0,057050,2023,20240315000790,8475,0.0174
9271,19,205,0,0.002,0.0221,0.0,1.0,057050,2024,20250317000550,9264,0.0202
5033,55,122,0,0.0109,0.0242,0.0,1.0,064350,2022,20230310001083,5033,0.0422
4954,59,122,0,0.0119,0.0246,0.0,1.0,064350,2023,20240320000873,4954,0.0435
5358,79,122,0,0.0147,0.0228,0.0,1.0,064350,2024,20250318000847,5358,0.0509
5822,15,123,0,0.0026,0.0211,0.0,1.0,068270,2022,20230320000842,5805,0.0107
6477,15,133,0,0.0023,0.0205,0.0,1.0,068270,2023,20240318000913,6462,0.0105
6699,20,119,0,0.003,0.0178,0.0,1.0,068270,2024,20250317000929,6681,0.0096
13819,30,154,0,0.0022,0.0111,0.0,1.0,086790,2022,20230316001364,13818,0.0
14440,27,157,0,0.0019,0.0109,0.0,1.0,086790,2023,20240516001695,14440,0.0
14149,38,151,0,0.0027,0.0107,0.0,1.0,086790,2024,20250317000894,14149,0.0
12654,75,177,0,0.0059,0.014,0.0,1.0,096770,2022,20230322000906,12653,0.0
14471,83,198,0,0.0057,0.0137,0.0,1.0,096770,2023,20240320000950,14467,0.0
17324,140,211,0,0.0081,0.0122,0.0,1.0,096770,2024,20250318000862,17320,0.006
5228,77,132,0,0.0147,0.0252,0.0,1.0,097950,2022,20230417000204,5226,0.0432
7438,74,149,0,0.0099,0.02,0.0,1.0,097950,2023,20240319000861,7436,0.0299
6875,69,144,0,0.01,0.0209,0.0,1.0,097950,2024,20250317000648,6873,0.0218
17582,24,151,0,0.0014,0.0086,0.0,1.0,105560,2022,20230324001073,17580,0.0
15890,28,147,0,0.0018,0.0093,0.0,1.0,105560,2023,20240326000894,15890,0.0
17541,24,189,0,0.0014,0.0108,0.0,1.0,105560,2024,20250314001704,17541,0.0
11673,8,253,0,0.0007,0.0217,0.0,1.0,138930,2022,20230309000759,11673,0.0164
11862,23,251,0,0.0019,0.0212,0.0,1.0,138930,2023,20240314001564,11862,0.0162
10645,11,229,0,0.001,0.0215,0.0,1.0,138930,2024,20250318001176,10645,0.0169
3768,5,129,0,0.0013,0.0342,0.0,1.0,282330,2022,20230320000886,3768,0.0362
3804,3,142,0,0.0008,0.0373,0.0,1.0,282330,2023,20240313001437,3804,0.0392
4953,7,127,0,0.0014,0.0256,0.0,1.0,282330,2024,20250318000733,4953,0.0176
15538,27,177,0,0.0017,0.0114,0.0,1.0,316140,2022,20230316001455,15535,0.0
16190,38,176,0,0.0023,0.0109,0.0,1.0,316140,2023,20240314001383,16187,0.0
16743,35,170,0,0.0021,0.0102,0.0,1.0,316140,2024,20250318001196,16740,0.0
