stock_code,fiscal_year,section_chars_II,section_chars_IV,section_chars_VI,total_chars,rcept_no
000880,2022,138539,24821,3205,166569,20230321001313
000880,2023,135260,28604,3572,167440,20240430000953
000880,2024,139575,37342,3619,180540,20250318001429
000890,2022,9501,7213,1825,18543,20230321001480
000890,2023,10140,8440,1916,20500,20240318000717
000890,2024,11636,6427,1993,20060,20250318001002
000910,2022,12923,5674,1075,19676,20230323001190
000910,2023,12856,6571,958,20389,20240321001439
000910,2024,12818,7419,958,21199,20250320001552
000950,2022,9297,2989,1463,13753,20230315001304
000950,2023,9782,2889,1463,14138,20240314001271
000950,2024,7315,2993,1478,11790,20250320000970
000970,2022,9648,2591,1028,13271,20230316000941
000970,2023,9523,2495,1030,13052,20240321000781
000970,2024,9557,2622,2069,14252,20250320000304
000990,2022,10098,4880,1859,16841,20230321001125
000990,2023,10463,5156,2520,18143,20240320002017
000990,2024,11278,5195,2544,19021,20250312001130
001020,2022,8450,2938,1652,13044,20230323001248
001020,2023,8057,2782,1381,12224,20240321001475
001020,2024,7934,2252,1006,11196,20250320001403
001040,2022,86630,54497,4078,145209,20230321001305
001040,2023,90391,72257,3613,166265,20240320001996
001040,2024,87244,66854,3897,157999,20250318001349
001060,2022,15817,5271,1427,22519,20230321001149
001060,2023,15211,5439,1499,22153,20240318000800
001060,2024,6551,4814,1505,12874,20250318001192
001070,2022,6183,3522,2655,12364,20230316001199
001070,2023,4496,3717,2404,10621,20240314001520
001070,2024,4570,3171,2214,9959,20250313001407
001080,2022,7052,2625,1276,10957,20231005000147
001080,2023,6849,2398,1325,10576,20240920000456
001080,2024,6297,2079,1465,9845,20250918000297
001120,2022,13874,24968,4418,43264,20230315000850
001120,2023,16346,25372,4510,46232,20240320000868
001120,2024,16313,24655,3599,44571,20250320000626
001130,2022,11218,3703,1353,16278,20230316001412
001130,2023,11506,3766,1343,16619,20240314001452
001130,2024,10988,3723,1551,16266,20250313001408
001140,2022,9929,2516,2715,15164,20230321001053
001140,2023,6564,2556,2208,11332,20240321001955
001140,2024,4703,2225,2169,9101,20250321001993
001200,2022,3339,8899,4023,16265,20230315000887
001200,2023,3426,8911,3973,16314,20240318000590
001200,2024,3353,8988,6272,18617,20250318000789
001210,2022,9009,4598,1963,15574,20230321001127
001210,2023,8628,4771,1548,14951,20240320001009
001210,2024,9280,4724,1249,15257,20250318000723
001230,2022,20532,3748,2163,26447,20230316001310
001230,2023,23193,10266,1103,34566,20240314001784
001230,2024,22585,8954,1570,33113,20250318001457
001250,2022,17960,6713,1825,26502,20230317000485
001250,2023,18017,6927,1927,26875,20240318000522
001250,2024,14618,6043,2010,22675,20250318001328
001260,2022,6498,2449,2521,11472,20230320000480
001260,2023,6769,2499,2169,11441,20240320000911
001260,2024,6599,2422,2170,11195,20250318000968
001270,2022,18116,5679,6419,30218,20230316000947
001270,2023,18305,6942,6235,31486,20240314000951
001270,2024,16765,6939,6450,30158,20250319000744
001290,2022,3267,5326,1804,10401,20230321001175
001290,2023,3259,5754,1939,10956,20240321001495
001290,2024,3186,3553,2242,8985,20250318001083
001340,2022,6138,3592,1256,10990,20230315000818
001340,2023,6493,6648,2143,15288,20240320001979
001340,2024,8234,6741,2015,16994,20250318001326
001360,2022,10974,2227,1495,14700,20230320001021
001360,2023,14960,2176,1544,18684,20240320002024
001360,2024,14735,2226,1516,18481,20250319000845
001380,2022,8931,4300,1579,14814,20230314000627
001380,2023,8308,4355,1401,14068,20240319000089
001380,2024,8215,4427,1750,14396,20250319000355
001390,2022,55271,7193,1842,64310,20230321001469
001390,2023,62119,7923,4278,74324,20240321001911
001390,2024,59893,7369,4218,71484,20250320001653
001420,2022,5648,7157,3320,16129,20230316000393
001420,2023,7386,7021,3416,17827,20240320000726
001420,2024,6460,7216,2992,16672,20250320001049
001430,2022,14989,3412,2409,20814,20230321001452
001430,2023,16264,3270,1850,21388,20240312000629
001430,2024,15775,3348,1992,21119,20250318000465
001440,2022,7078,5384,1778,14244,20230322001136
001440,2023,7498,5793,2048,15343,20240321001692
001440,2024,7910,5450,1816,15180,20250320001292
001450,2022,14348,22108,2587,39047,20230309000797
001450,2023,13509,19509,2437,35459,20240314001515
001450,2024,13645,19009,2410,35068,20250313001346
001460,2022,4206,2585,2367,9162,20230316001312
001460,2023,3348,2360,2305,8017,20240314001341
