exp_id,n_rows,n_nan,g_signal_ratio_mean,esg_signal_ratio_mean,esg_tfidf_concentration_mean,total_tokens_mean,run_ts,token_loss_vs_B,token_loss_pct,protected_g_signals,g_signal_preserved_pct
exp_B,213,0,0.0719085915492957,0.010332676056338,0.0494883098591549,6055.197183098591,2026-05-23T20:55:54.358340,0.0,0.0,14,100.0
exp_E,213,0,0.0801191549295774,0.0121369483568075,0.0525432863849765,4904.0,2026-05-23T20:55:55.108733,-1151.1971830985913,-19.01,14,100.0
exp_F,213,1,0.0801076056338028,0.0121640845070422,0.0526017840375586,4887.713615023475,2026-05-23T20:55:55.848015,-1167.4835680751166,-19.28,14,100.0
