stock_code,fiscal_year,esg_year,company_name,industry,esg_grade,e_grade,s_grade,g_grade,universe,in_corp_code,in_collected_reports,in_sections_extracted,in_firm_year_documents,in_features_expF,in_merged_expF,status,sub_status,reason,source_pipeline,recovery_method,rcept_no,total_tokens,esg_signal_count,g_signal_count,esg_signal_ratio,g_signal_ratio,esg_tfidf_concentration,esg_g_relative,bp_contamination_rate,kcgs_grade,kcgs_grade_7,kcgs_grade_4
035760,2024,2024,CJ ENM,미디어/콘텐츠,A,B+,A+,B+,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024,,,,,,,,,,,,
036570,2022,2022,엔씨소프트,게임,A,B+,A,A,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe,,,,,,,,,,,,
036570,2023,2023,엔씨소프트,게임,A,B+,A,A,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe,,,,,,,,,,,,
036570,2024,2024,엔씨소프트,게임,A,B+,A+,A,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024,,,,,,,,,,,,
042670,2022,2022,현대두산인프라코어,,B+,B+,A,B+,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe,,,,,,,,,,,,
042670,2023,2023,HD현대인프라코어,,A,A+,A+,B+,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe,,,,,,,,,,,,
042670,2024,2024,HD현대인프라코어,,A+,A+,A+,A,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024,,,,,,,,,,,,
051500,2022,2022,CJ프레시웨이,식자재유통,A,B,A,A,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe,,,,,,,,,,,,
051500,2023,2023,CJ프레시웨이,식자재유통,A,B+,A+,A,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe,,,,,,,,,,,,
051500,2024,2024,CJ프레시웨이,식자재유통,A,A,A,B+,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024,,,,,,,,,,,,
051910,2022,2022,LG화학,화학,B,C,A,B+,hyesung_127x3,True,True,True,True,False,False,SUCCESS,,,jiwoo_native,none_needed,20230324001178.0,8898.0,89.0,332.0,0.01,0.0373,0.0588,1.0,0.0,B,3.0,2.0
051910,2023,2023,LG화학,화학,A,B+,A+,A,hyesung_127x3,True,True,True,True,False,False,SUCCESS,,,jiwoo_native,none_needed,20240315000957.0,10577.0,101.0,283.0,0.0095,0.0268,0.0245,1.0,0.0,A,5.0,3.0
051910,2024,2024,LG화학,화학,B+,B+,A,B+,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024,,,,,,,,,,,,
055550,2022,2022,신한지주,금융지주,A+,A+,A+,A+,hyesung_127x3,True,True,True,False,False,False,FAILED_NO_PASSAGES,,no firm_year_document,jiwoo_native_partial,reprocess_existing_zip,,,,,,,,,,,,
055550,2023,2023,신한지주,금융지주,A+,A+,A+,A+,hyesung_127x3,True,True,True,False,False,False,FAILED_NO_PASSAGES,,no firm_year_document,jiwoo_native_partial,reprocess_existing_zip,,,,,,,,,,,,
055550,2024,2024,신한지주,금융지주,A+,A+,A,A+,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024,,,,,,,,,,,,
057050,2022,2022,현대홈쇼핑,,A,A,A+,A,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe,,,,,,,,,,,,
057050,2023,2023,현대홈쇼핑,,A,A,A+,A,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe,,,,,,,,,,,,
057050,2024,2024,현대홈쇼핑,,A+,A,A+,A+,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024,,,,,,,,,,,,
064350,2022,2022,현대로템,,A,A,A+,A,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe,,,,,,,,,,,,
064350,2023,2023,현대로템,,A,A,A+,A,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe,,,,,,,,,,,,
064350,2024,2024,현대로템,,A+,A+,A+,A,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024,,,,,,,,,,,,
068270,2022,2022,셀트리온,바이오의약품,B,C,B+,B,hyesung_127x3,True,True,True,True,False,False,SUCCESS,,,jiwoo_native,none_needed,20230320000842.0,2.0,0.0,1.0,0.0,0.5,0.3209,1.0,0.0,B,3.0,2.0
068270,2023,2023,셀트리온,바이오의약품,B,B+,A+,C,hyesung_127x3,True,True,True,True,False,False,SUCCESS,,,jiwoo_native,none_needed,20240318000913.0,2.0,0.0,1.0,0.0,0.5,0.3209,1.0,0.0,B,3.0,2.0
